Year,Mean,Upper,Lower
1957,329.9,345.2,314.7
1958,314.0,329.2,298.6
1959,311.1,326.2,295.5
1960,301.0,316.3,285.7
1961,316.9,332.2,301.8
1962,331.9,350.0,316.8
1963,308.9,324.2,293.4
1964,317.9,333.1,302.7
1965,280.7,295.9,265.4
1966,316.0,331.1,300.7
1967,323.0,338.3,307.6
1968,300.9,316.2,285.7
1969,281.8,297.0,266.5
1970,281.8,297.0,266.5
1971,298.9,314.2,283.7
1972,304.0,319.2,288.7
1973,288.9,304.3,273.5
1975,308.1,323.4,292.6
1976,282.9,298.1,267.6
1977,250.7,266.1,235.6
1978,283.8,299.3,268.6
1979,260.9,276.1,245.7
1980,225.9,241.0,210.9
1981,246.8,262.0,231.6
1982,238.0,252.9,222.8
1983,207.1,222.1,191.7
1984,195.7,211.1,180.8
